from_stop_id,to_stop_id,transfer_type,min_transfer_time
2128,6591530,2,229
2079,6591530,2,229
5762024,2046,2,210
4035810,1674,2,274
6664351,2338,2,269
4473105,1684,2,230
2087,6591531,2,196
3740315,2148,2,201
6423486,2338,2,189
4022898,2148,2,241
4211801,2547,2,212
5762020,1795,2,203
3747967,2168,2,249
6591552,2128,2,229
2486,1674,2,234
5657285,1900,2,264
3687265,2160,2,282
1795,4036741,2,273
3765190,1707,2,248
2351,6591529,2,211
4009648,2509,2,281
2395,2394,2,87
1795,4036742,2,254
5761990,2401,2,188
1792,2401,2,108
5710080,2547,2,212
4472775,1707,2,233
3672105,2338,2,269
2077,2235,2,360
3740300,2547,2,229
3749793,2484,2,268
1957,2235,2,420
3749764,2235,2,242
3666670,2235,2,244
3687463,2079,2,206
1684,3749734,2,230
4035809,1674,2,196
2110,2547,2,91
2548,2115,2,132
1684,4023030,2,230
4036856,2086,2,212
6591553,2087,2,196
3740312,2361,2,204
6591773,2087,2,214
2548,2066,2,98
2296,5747226,2,205
3765455,1989,2,204
6423454,2086,2,212
2296,5747225,2,269
3687445,2351,2,211
2414,3813188,2,258
1833,6664357,2,219
2414,3813187,2,210
3666729,2235,2,255
1784,3673599,2,229
1684,4473193,2,207
6217405,2148,2,208
3749762,1674,2,220
4036934,2547,2,229
3687463,2128,2,206
4037280,1795,2,273
3765156,1707,2,237
4016356,1795,2,275
1902,2296,2,143
3687265,2041,2,282
5657322,1900,2,220
4036973,2296,2,205
5761991,2071,2,227
3666566,1910,2,255
5138159,2405,2,231
2405,2406,2,125
5761975,1674,2,196
3666625,1910,2,255
4035808,1674,2,207
3740302,2096,2,195
2338,2531,2,122
5138026,2071,2,254
5231602,2394,2,226
3926220,2405,2,254
6423455,2086,2,223
3740309,2452,2,213
4037171,2338,2,247
2077,1910,2,360
1784,4459268,2,229
6217405,2029,2,208
2402,2401,2,122
1684,4473179,2,230
1785,1784,2,100
2338,2371,2,89
2087,6591447,2,214
5762022,2401,2,210
2510,1629,2,72
3666770,1910,2,244
3740329,1629,2,251
5657318,2338,2,272
4045029,2096,2,210
5231621,2394,2,229
3666566,2235,2,255
3926406,2168,2,234
3813139,2029,2,224
3740307,2405,2,189
4035807,2484,2,387
5747307,2509,2,281
4016341,1795,2,243
2494,4022965,2,207
1834,1833,2,90
4472770,2452,2,249
3765465,2179,2,234
1958,1910,2,420
2030,2029,2,73
6591783,2087,2,196
4146147,1833,2,269
2338,6664357,2,219
3740330,1629,2,238
2110,2086,2,91
1795,4016285,2,211
2149,2029,2,81
3813004,2504,2,204
6423508,2338,2,247
2148,2147,2,52
4037280,2405,2,273
1902,1900,2,143
3740302,2046,2,195
1630,2509,2,72
3740334,2120,2,265
3672170,1833,2,269
4035818,1900,2,264
2084,2029,2,145
3740329,2509,2,251
2485,1674,2,116
4037768,2148,2,241
4035555,2296,2,269
5762021,2071,2,265
5138160,1795,2,231
6664352,1833,2,269
5710080,2086,2,212
4997011,2235,2,244
5761988,2046,2,195
2030,2148,2,59
5761992,1795,2,211
3740331,1707,2,216
1901,1900,2,235
3813004,1694,2,204
4037275,2096,2,195
3741056,1910,2,255
2394,3673599,2,229
3666722,2235,2,244
3740306,1795,2,211
4037273,2086,2,229
4037277,2401,2,188
3749793,1674,2,268
2148,2028,2,60
1834,2338,2,90
2302,2338,2,226
3749663,1791,2,188
4036972,2296,2,269
2084,2148,2,94
5138161,2071,2,254
3749936,2405,2,198
4037278,2120,2,227
1795,1796,2,75
5762022,1791,2,210
4045025,2405,2,203
5710022,2547,2,212
4045031,2086,2,201
4211808,2547,2,229
4037768,2029,2,241
6423488,2338,2,201
4045026,2120,2,265
3764495,1791,2,210
2338,3926287,2,280
2338,3926289,2,196
2338,3926288,2,210
3741056,2235,2,255
2402,1791,2,129
2213,2235,2,420
1833,1651,2,176
2485,2484,2,127
1630,1629,2,72
4726747,2148,2,224
2029,2147,2,64
3740300,2086,2,229
3764494,2401,2,210
2494,3749981,2,230
2494,5018184,2,244
1835,1833,2,219
4016341,2405,2,243
2394,4459268,2,229
4997000,2235,2,255
1795,2406,2,86
1785,2394,2,94
2029,3749983,2,207
2029,3749982,2,207
3740313,1989,2,199
3672237,1833,2,269
3813005,1694,2,272
2338,3748084,2,247
2494,5018179,2,230
2547,5018147,2,212
3666722,1910,2,244
3813139,2148,2,224
2338,3748086,2,202
4037273,2547,2,229
4037275,2046,2,195
3926221,1795,2,275
6664353,1833,2,201
3749761,2296,2,205
2547,5018146,2,223
4472694,2494,2,207
3740339,2547,2,201
1901,2296,2,231
2148,5018182,2,257
2148,5018183,2,203
4726747,2029,2,224
2087,2115,2,139
2029,2028,2,62
2148,5018181,2,279
2394,4036631,2,226
2298,1900,2,133
4997000,1910,2,255
5761972,2484,2,399
2509,4036663,2,281
3749794,2484,2,274
3813137,2148,2,284
2297,1900,2,229
3687065,2394,2,226
3672170,2338,2,269
3687462,2351,2,246
4009647,1629,2,258
2302,1833,2,236
5761973,1674,2,387
5138026,2120,2,254
3740328,1822,2,213
5018199,2452,2,254
4009648,1629,2,281
3740306,2405,2,211
5761988,2096,2,195
3740334,2071,2,265
4036856,2547,2,212
4008849,2029,2,208
4045027,2401,2,210
3765455,2179,2,204
4035808,2484,2,207
3749761,1900,2,205
2339,1833,2,90
4035810,2484,2,274
3672262,2338,2,269
4008223,2148,2,208
1684,5018179,2,230
3740331,2452,2,216
3740330,2509,2,238
3764494,1791,2,210
5762020,2405,2,203
3672262,1833,2,269
3672237,2338,2,269
3666729,1910,2,255
2494,4023030,2,230
5761974,1674,2,207
3687462,1812,2,246
3740307,1795,2,189
1675,2484,2,120
3741095,1910,2,244
3749791,2235,2,255
2148,4035037,2,191
3813005,2504,2,272
2148,4035036,2,208
3813138,2148,2,205
4045029,2046,2,210
2545,2029,2,168
3813137,2029,2,284
5158076,1795,2,254
3666677,1910,2,255
3926241,2405,2,198
4008849,2148,2,208
3740337,2046,2,210
2395,1784,2,93
4037278,2071,2,227
2071,4016284,2,254
3687445,1812,2,211
2071,4016283,2,232
3740314,2494,2,204
6591782,2296,2,264
5762021,2120,2,265
2405,4016314,2,203
2551,2096,2,120
2148,3749982,2,207
1629,4036663,2,281
2061,2547,2,104
4008223,2029,2,208
5231621,1784,2,229
2298,2296,2,133
2148,3749983,2,207
4472770,1707,2,249
6591782,1900,2,264
5138159,1795,2,231
6423488,1833,2,201
4008229,1694,2,200
5138025,1795,2,231
4036934,2086,2,229
4473120,1684,2,207
1812,6591529,2,211
3666775,2235,2,255
6423455,2547,2,223
2120,4016284,2,254
5747307,1629,2,281
1684,5018184,2,244
3813138,2029,2,205
2545,2148,2,117
2120,4016283,2,232
5657322,2296,2,220
6423486,1833,2,189
3740325,2029,2,203
3740326,1684,2,209
3740310,2509,2,241
1676,2484,2,247
5761446,2235,2,255
6591553,2548,2,196
3740325,2148,2,203
3740327,1989,2,197
6591773,2548,2,214
3666618,1910,2,244
1833,2531,2,149
5454903,1791,2,210
3926221,2405,2,275
4008228,1694,2,229
2494,4473179,2,230
3926220,1795,2,254
3926407,1978,2,249
5761446,1910,2,255
6217406,2029,2,191
1736,3813188,2,258
1736,3813187,2,210
6423454,2547,2,212
5018199,1707,2,254
3740333,1795,2,203
4022899,2029,2,259
3926241,1795,2,198
3749760,1900,2,269
2494,3749702,2,207
4037174,2338,2,196
2548,6591531,2,196
4472775,2452,2,233
2494,3749734,2,230
4037279,2405,2,198
4035818,2296,2,264
4035555,1900,2,269
6664353,2338,2,201
2494,4473193,2,207
3740337,2096,2,210
2212,2235,2,420
1833,3748086,2,202
1833,3748084,2,247
3740314,1684,2,204
3740304,2401,2,188
3749794,1674,2,274
4016356,2405,2,275
4008848,2148,2,191
3740309,1707,2,213
2339,2338,2,90
4008222,2148,2,191
3749791,1910,2,255
3765190,2452,2,248
2510,2509,2,72
6591552,2079,2,229
4035556,2296,2,205
2551,2046,2,120
1957,1910,2,420
3740305,2071,2,227
2029,4035037,2,191
4146116,1833,2,269
2029,4035036,2,208
3740339,2086,2,201
3740313,2179,2,199
4472694,1684,2,207
6423487,1833,2,201
4035806,2484,2,399
1792,1791,2,114
4008222,2029,2,191
2107,3926284,2,211
2107,3926285,2,224
4008848,2029,2,191
5761990,1791,2,188
3749921,2405,2,254
2061,2086,2,104
2235,4035733,2,255
1833,3748066,2,201
2338,3748066,2,201
2405,4016285,2,211
4022899,2148,2,259
2338,1832,2,74
5657285,2296,2,264
3740327,2179,2,197
3749760,2296,2,269
5657318,1833,2,272
2548,6591447,2,214
6591551,2351,2,211
2405,4036741,2,273
2405,4036742,2,254
3740304,1791,2,188
5747301,1629,2,238
6664354,1833,2,252
3926406,1978,2,234
6423487,2338,2,201
2235,4035724,2,244
3749664,2401,2,210
3740310,1629,2,241
4045026,2071,2,265
4211801,2086,2,212
3740335,1791,2,210
4037767,2148,2,259
3765465,1989,2,234
3749936,1795,2,198
4036972,1900,2,269
4146116,2338,2,269
4035556,1900,2,205
4037215,2148,2,241
2486,2484,2,245
5138160,2405,2,231
5761974,2484,2,207
4473120,2494,2,207
5762026,2547,2,201
4036973,1900,2,205
1784,4036631,2,226
6591839,2548,2,214
4045025,1795,2,203
4008228,2504,2,229
5761991,2120,2,227
4009647,2509,2,258
6664354,2338,2,252
5158076,2405,2,254
2087,2066,2,95
3672105,1833,2,269
3666770,2235,2,244
1833,3926288,2,210
1833,3926287,2,280
1833,3926289,2,196
2405,1796,2,119
4037767,2029,2,259
4037215,2029,2,241
2394,3673600,2,226
5761972,1674,2,399
4037279,1795,2,198
6591839,2087,2,214
5158075,2405,2,273
4997011,1910,2,244
